," [Z1Light , false]"," [Z1Light , true]"," [Z2Light , false]"," [Z2Light , true]"," [Z1Blinds , false] ","[Z1Blinds , true]","[Z2Blinds , false]","[Z2Blinds , true]"
311011,0,0,0,0,0,0,0,0
311012,0,0,0,0,0,0,0,0
311013,0,0,0,0,0,0,0,0
311100,0,0,0,0,0,0,0,0
311101,0,0,0,0,0,0,0,0
311102,0,0,0,0,0,0,0,0
311103,0,0,0,0,0,0,0,0
311110,0,0,0,0,0,0,0,0
311111,0,0,0,0,0,0,0,0
311112,0,0,0,0,0,0,0,0
311113,0,0,0,0,0,0,0,0
1000000,0,0,0,0,0,0,0,0
1000001,0,0,0,0,0,0,0,0
1000002,0,0,0,0,0,0,0,0
1000003,0,0,0,0,0,0,0,0
1000010,0,0,0,0,0,0,0,0
1000011,0,0,0,0,0,0,0,0
1000012,0,0,0,0,0,0,0,0
1000013,0,0,0,0,0,0,0,0
1000100,0,0,0,0,0,0,0,0
1000101,0,0,0,0,0,0,0,0
1000102,0,0,0,0,0,0,0,0
1000103,0,0,0,0,0,0,0,0
1000110,0,0,0,0,0,0,0,0
1000111,0,0,0,0,0,0,0,0
1000112,0,0,0,0,0,0,0,0
1000113,0,0,0,0,0,0,0,0
1001000,0,0,0,0,0,0,0,0
1001001,0,0,0,0,0,0,0,0
1001002,0,0,0,0,0,0,0,0
1001003,0,0,0,0,0,0,0,0
1001010,0,0,0,0,0,0,0,0
1001011,0,0,0,0,0,0,0,0
1001012,0,0,0,0,0,0,0,0
1001013,0,0,0,0,0,0,0,0
1001100,0,0,0,0,0,0,0,0
1001101,0,0,0,0,0,0,0,0
1001102,0,0,0,0,0,0,0,0
1001103,0,0,0,0,0,0,0,0
1001110,0,0,0,0,0,0,0,0
1001111,0,0,0,0,0,0,0,0
1001112,0,0,0,0,0,0,0,0
1001113,0,0,0,0,0,0,0,0
1010000,0,0,0,0,0,0,0,0
1010001,0,0,0,0,0,0,0,0
1010002,0,0,0,0,0,0,0,0
1010003,0,0,0,0,0,0,0,0
1010010,0,0,0,0,0,0,0,0
1010011,0,0,0,0,0,0,0,0
1010012,0,0,0,0,0,0,0,0
1010013,0,0,0,0,0,0,0,0
1010100,0,0,0,0,0,0,0,0
1010101,0,0,0,0,0,0,0,0
1010102,0,0,0,0,0,0,0,0
1010103,0,0,0,0,0,0,0,0
1010110,0,0,0,0,0,0,0,0
1010111,0,0,0,0,0,0,0,0
1010112,0,0,0,0,0,0,0,0
1010113,0,0,0,0,0,0,0,0
1011000,0,0,0,0,0,0,0,0
1011001,0,0,0,0,0,0,0,0
1011002,0,0,0,0,0,0,0,0
1011003,0,0,0,0,0,0,0,0
1011010,0,0,0,0,0,0,0,0
1011011,0,0,0,0,0,0,0,0
1011012,0,0,0,0,0,0,0,0
1011013,0,0,0,0,0,0,0,0
1011100,0,0,0,0,0,0,0,0
1011101,0,0,0,0,0,0,0,0
1011102,0,0,0,0,0,0,0,0
1011103,0,0,0,0,0,0,0,0
1011110,0,0,0,0,0,0,0,0
1011111,0,0,0,0,0,0,0,0
1011112,0,0,0,0,0,0,0,0
1011113,0,0,0,0,0,0,0,0
1100000,0,0,0,0,0,0,0,0
1100001,0,0,0,0,0,0,0,0
1100002,0,0,0,0,0,0,0,0
1100003,0,0,0,0,0,0,0,0
1100010,0,0,0,0,0,0,0,0
1100011,0,0,0,0,0,0,0,0
1100012,0,0,0,0,0,0,0,0
1100013,0,0,0,0,0,0,0,0
1100100,0,0,0,0,0,0,0,0
1100101,0,0,0,0,0,0,0,0
1100102,0,0,0,0,0,0,0,0
1100103,0,0,0,0,0,0,0,0
1100110,0,0,0,0,0,0,0,0
1100111,0,0,0,0,0,0,0,0
1100112,0,0,0,0,0,0,0,0
1100113,0,0,0,0,0,0,0,0
1101000,0,0,0,0,0,0,0,0
1101001,0,0,0,0,0,0,0,0
1101002,0,0,0,0,0,0,0,0
1101003,0,0,0,0,0,0,0,0
1101010,0,0,0,0,0,0,0,0
1101011,0,0,0,0,0,0,0,0
1101012,0,0,0,0,0,0,0,0
1101013,0,0,0,0,0,0,0,0
1101100,0,0,0,0,0,0,0,0
1101101,0,0,0,0,0,0,0,0
1101102,0,0,0,0,0,0,0,0
1101103,0,0,0,0,0,0,0,0
1101110,0,0,0,0,0,0,0,0
1101111,0,0,0,0,0,0,0,0
1101112,0,0,0,0,0,0,0,0
1101113,0,0,0,0,0,0,0,0
1110000,0,0,0,0,0,0,0,0
1110001,0,0,0,0,0,0,0,0
1110002,0,0,0,0,0,0,0,0
1110003,0,0,0,0,0,0,0,0
1110010,0,0,0,0,0,0,0,0
1110011,0,0,0,0,0,0,0,0
1110012,0,0,0,0,0,0,0,0
1110013,0,0,0,0,0,0,0,0
1110100,0,0,0,0,0,0,0,0
1110101,0,0,0,0,0,0,0,0
1110102,0,0,0,0,0,0,0,0
1110103,0,0,0,0,0,0,0,0
1110110,0,0,0,0,0,0,0,0
1110111,0,0,0,0,0,0,0,0
1110112,0,0,0,0,0,0,0,0
1110113,0,0,0,0,0,0,0,0
1111000,0,0,0,0,0,0,0,0
1111001,0,0,0,0,0,0,0,0
1111002,0,0,0,0,0,0,0,0
1111003,0,0,0,0,0,0,0,0
1111010,0,0,0,0,0,0,0,0
1111011,0,0,0,0,0,0,0,0
1111012,0,0,0,0,0,0,0,0
1111013,0,0,0,0,0,0,0,0
1111100,0,0,0,0,0,0,0,0
1111101,0,0,0,0,0,0,0,0
1111102,0,0,0,0,0,0,0,0
1111103,0,0,0,0,0,0,0,0
1111110,0,0,0,0,0,0,0,0
1111111,0,0,0,0,0,0,0,0
1111112,0,0,0,0,0,0,0,0
1111113,0,0,0,0,0,0,0,0
1200000,0,0,0,0,0,0,0,0
1200001,0,0,0,0,0,0,0,0
1200002,0,0,0,0,0,0,0,0
1200003,0,0,0,0,0,0,0,0
1200010,0,0,0,0,0,0,0,0
1200011,0,0,0,0,0,0,0,0
1200012,0,0,0,0,0,0,0,0
